Id,Tehsil,Type,Name,Population
1,Sagar,Town,Sagar Municipal Corporation,274556
2,Sagar,Town,Sagar Cantt Cantonment Board,40513
3,Sagar,Town,Rajakhedi Census Town,24232
4,Sagar,Town,Makronia Buzurg Census Town,23861
5,Sagar,Town,Shahpur Nagar Panchayat,13668
6,Sagar,Town,Karrapur Census Town,10647
7,Sagar,Town,Dhana Census Town,9677
8,Sagar,Town,Gamiria Sagar Census Town,7984
9,Sagar,Town,Bhainsa Census Town,5144
10,Sagar,Town,Kapuria Census Town,1902
11,Sagar,Village,Agariya,834
12,Sagar,Village,Agra,845
13,Sagar,Village,Ama Khurd,258
14,Sagar,Village,Amaoni,670
15,Sagar,Village,Amet,1506
16,Sagar,Village,Amoda,774
17,Sagar,Village,Amoda,599
18,Sagar,Village,Apchand,2047
19,Sagar,Village,Arjani,354
20,Sagar,Village,Bachhlon,2241
21,Sagar,Village,Badarchuwa,188
22,Sagar,Village,Badaua,717
23,Sagar,Village,Badbadi,548
24,Sagar,Village,Badera,10
25,Sagar,Village,Badkuwan,2057
26,Sagar,Village,Badona,2694
27,Sagar,Village,Badora,856
28,Sagar,Village,Badtuma,2752
29,Sagar,Village,Baheria Gadgad,1930
30,Sagar,Village,Baheriya Sahni,1320
31,Sagar,Village,Bakhra,192
32,Sagar,Village,Bakswaha,1553
33,Sagar,Village,Bamhori,333
34,Sagar,Village,Bamhori,343
35,Sagar,Village,Bamhori Bika,2367
36,Sagar,Village,Bamhori Dhunder,2943
37,Sagar,Village,Bamhori Ghat,979
38,Sagar,Village,Bamhori Renguwan,3620
39,Sagar,Village,Bamora,622
40,Sagar,Village,Banguwan,218
41,Sagar,Village,Banjariya,897
42,Sagar,Village,Bansa,2542
43,Sagar,Village,Bansiya,1802
44,Sagar,Village,Bararu,3567
45,Sagar,Village,Barchha,1088
46,Sagar,Village,Barkhera Khuman,1684
47,Sagar,Village,Barkhera Mafi,322
48,Sagar,Village,Barkhuwa Khurd,441
49,Sagar,Village,Barnawad,1846
50,Sagar,Village,Baroda Rehli,2392
51,Sagar,Village,Baroda Sager,3056
52,Sagar,Village,Barodiya Gusai,439
53,Sagar,Village,Barpani,1316
54,Sagar,Village,Basiya Bhansa,1072
55,Sagar,Village,Belai Ghat,638
56,Sagar,Village,Belai Guru,462
57,Sagar,Village,Belai Mafi,444
58,Sagar,Village,Belkhader,95
59,Sagar,Village,Berkhera Mahent,429
60,Sagar,Village,Berkheri,770
61,Sagar,Village,Berkheri Champat,292
62,Sagar,Village,Berkheri Gangaram,803
63,Sagar,Village,Berkheri Guru,1521
64,Sagar,Village,Berkheri Khurd,296
65,Sagar,Village,Berkheri Mudiya,362
66,Sagar,Village,Berkheri Suwansh,628
67,Sagar,Village,Berkhuwa Mahant,577
68,Sagar,Village,Berkhuwa Tiwari,335
69,Sagar,Village,Bersala,483
70,Sagar,Village,Bhainswahi,2080
71,Sagar,Village,Bhajiya,323
72,Sagar,Village,Bhapel,2938
73,Sagar,Village,Bhilaiya,371
74,Sagar,Village,Bhonhari,1543
75,Sagar,Village,Bichhuwa,456
76,Sagar,Village,Biharikheda,1455
77,Sagar,Village,Biharipura,578
78,Sagar,Village,Bijora,1539
79,Sagar,Village,Bilehra,9371
80,Sagar,Village,Bindwas,2675
81,Sagar,Village,Birpura,648
82,Sagar,Village,Birpura Sagar,538
83,Sagar,Village,Bisunpur,1022
84,Sagar,Village,Boda Pipariya,491
85,Sagar,Village,Chakeri,679
86,Sagar,Village,Chakroda,46
87,Sagar,Village,Chandamau,2793
88,Sagar,Village,Chandoni,686
89,Sagar,Village,Chandrapur,339
90,Sagar,Village,Chandwar,1123
91,Sagar,Village,Chartoriya,1680
92,Sagar,Village,Chatur Bhata,2475
93,Sagar,Village,Chauka,141
94,Sagar,Village,Chawda,909
95,Sagar,Village,Chenpura,1219
96,Sagar,Village,Chitai,135
97,Sagar,Village,Chitoura,2752
98,Sagar,Village,Chouka Damoh,413
99,Sagar,Village,Dabri,436
100,Sagar,Village,Dangi Dahar,467
101,Sagar,Village,Deori,1247
102,Sagar,Village,Deori Pathariya,1366
103,Sagar,Village,Dewalchori,1354
104,Sagar,Village,Dhakrai,1402
105,Sagar,Village,Dhana Naryaoli,731
106,Sagar,Village,Dharkheri,129
107,Sagar,Village,Dhau,272
108,Sagar,Village,Dhoha,588
109,Sagar,Village,Dhoha,172
110,Sagar,Village,Dhudoniya,834
111,Sagar,Village,Dhungasra,2890
112,Sagar,Village,Dhura,1786
113,Sagar,Village,Dungariya,563
114,Sagar,Village,Futera,559
115,Sagar,Village,Gadariya Dhonga,481
116,Sagar,Village,Gadarkhera,92
117,Sagar,Village,Gadoli Buzurg,582
118,Sagar,Village,Gadoli Kalan,825
119,Sagar,Village,Gadoli Khurd,1926
120,Sagar,Village,Gadpahra Muhal,733
121,Sagar,Village,Gadpahra Raiyatwari,240
122,Sagar,Village,Gehalpur,528
123,Sagar,Village,Genhuras Buzurg,859
124,Sagar,Village,Genhuras Khurd,177
125,Sagar,Village,Ghana,674
126,Sagar,Village,Ghana,398
127,Sagar,Village,Ghatampur,1197
128,Sagar,Village,Ghoghari,573
129,Sagar,Village,Ghughar,2841
130,Sagar,Village,Ghureta,733
131,Sagar,Village,Gidwani,1290
132,Sagar,Village,Girwar,2585
133,Sagar,Village,Godai,129
134,Sagar,Village,Gonchi,179
